Country,Country Code,Year,Internet_Use_Share
Afghanistan,AFG,2015,8.26
Afghanistan,AFG,2016,11.0
Afghanistan,AFG,2017,13.5
Afghanistan,AFG,2018,16.8
Afghanistan,AFG,2019,17.6
Albania,ALB,2015,56.9
Albania,ALB,2016,59.6
Albania,ALB,2017,62.4
Albania,ALB,2018,65.4
Albania,ALB,2019,68.5504
Algeria,DZA,2015,38.2
Algeria,DZA,2016,42.9455
Algeria,DZA,2017,47.6911
Algeria,DZA,2018,49.0385
Algeria,DZA,2019,55.7907
Andorra,AND,2015,87.9
Andorra,AND,2016,89.7
Andorra,AND,2017,91.5675
Andorra,AND,2019,90.7187
Angola,AGO,2015,22.0
Angola,AGO,2016,23.2
Angola,AGO,2017,26.0
Angola,AGO,2018,29.0
Angola,AGO,2019,32.1294
Antigua and Barbuda,ATG,2015,70.0
Antigua and Barbuda,ATG,2016,70.9743
Antigua and Barbuda,ATG,2017,71.9621
Antigua and Barbuda,ATG,2018,72.9637
Antigua and Barbuda,ATG,2019,73.9792
Argentina,ARG,2015,68.0431
Argentina,ARG,2016,70.969
Argentina,ARG,2017,74.2949
Argentina,ARG,2018,77.7
Argentina,ARG,2019,79.947
Armenia,ARM,2015,59.1008
Armenia,ARM,2016,64.346
Armenia,ARM,2017,64.7449
Armenia,ARM,2018,68.2451
Armenia,ARM,2019,66.5439
Aruba,ABW,2015,88.6612
Aruba,ABW,2016,93.5425
Aruba,ABW,2017,97.17
Australia,AUS,2015,84.5605
Australia,AUS,2016,86.54
Australia,AUS,2017,86.545
Australia,AUS,2018,90.0
Australia,AUS,2019,93.6099
Austria,AUT,2015,83.9401
Austria,AUT,2016,84.3237
Austria,AUT,2017,87.9356
Austria,AUT,2018,87.4791
Austria,AUT,2019,87.7522
Azerbaijan,AZE,2015,77.0
Azerbaijan,AZE,2016,78.2
Azerbaijan,AZE,2017,79.0
Azerbaijan,AZE,2018,79.8
Azerbaijan,AZE,2019,81.1
Bahamas,BHS,2015,78.0
Bahamas,BHS,2016,80.0
Bahamas,BHS,2017,80.6
Bahamas,BHS,2018,83.0
Bahamas,BHS,2019,90.6933
Bahrain,BHR,2015,93.4783
Bahrain,BHR,2016,98.0
Bahrain,BHR,2017,95.8781
Bahrain,BHR,2018,98.6447
Bahrain,BHR,2019,99.7015
Bangladesh,BGD,2015,12.9
Bangladesh,BGD,2016,18.1
Bangladesh,BGD,2017,21.5
Bangladesh,BGD,2018,25.6
Bangladesh,BGD,2019,30.4
Barbados,BRB,2015,72.0
Barbados,BRB,2016,72.2
Barbados,BRB,2017,72.3
Barbados,BRB,2018,72.4
Barbados,BRB,2019,74.1791
Belarus,BLR,2015,62.2304
Belarus,BLR,2016,71.113
Belarus,BLR,2017,74.4364
Belarus,BLR,2018,79.1299
Belarus,BLR,2019,82.7892
Belgium,BEL,2015,85.0529
Belgium,BEL,2016,86.5165
Belgium,BEL,2017,87.6797
Belgium,BEL,2018,88.6473
Belgium,BEL,2019,90.2754
Belize,BLZ,2015,41.59
Belize,BLZ,2016,44.5757
Belize,BLZ,2017,48.8771
Belize,BLZ,2018,53.5936
Belize,BLZ,2019,58.7652
Benin,BEN,2015,11.255
Benin,BEN,2016,14.5
Benin,BEN,2017,18.7
Benin,BEN,2018,19.0
Benin,BEN,2019,20.5
Bermuda,BMU,2015,98.3236
Bermuda,BMU,2016,98.0
Bermuda,BMU,2017,98.37
Bhutan,BTN,2015,39.8
Bhutan,BTN,2016,46.5
Bhutan,BTN,2017,54.3
Bhutan,BTN,2018,63.5
Bhutan,BTN,2019,74.1794
Bolivia,BOL,2015,37.4868
Bolivia,BOL,2016,39.6975
Bolivia,BOL,2017,43.8323
Bolivia,BOL,2018,44.2861
Bolivia,BOL,2019,47.4748
Bosnia and Herzegovina,BIH,2015,52.6
Bosnia and Herzegovina,BIH,2016,60.2565
Bosnia and Herzegovina,BIH,2017,64.892
Bosnia and Herzegovina,BIH,2018,70.1201
Bosnia and Herzegovina,BIH,2019,69.9463
Botswana,BWA,2015,37.3121
Botswana,BWA,2016,42.2576
Botswana,BWA,2017,47.8587
Botswana,BWA,2018,54.2022
Botswana,BWA,2019,61.3865
Brazil,BRA,2015,58.328
Brazil,BRA,2016,60.8725
Brazil,BRA,2017,67.4713
Brazil,BRA,2018,70.4343
Brazil,BRA,2019,73.9124
British Virgin Islands,VGB,2016,77.7014
British Virgin Islands,VGB,2017,77.7043
Brunei,BRN,2015,71.2
Brunei,BRN,2016,90.0
Brunei,BRN,2017,94.8667
Brunei,BRN,2018,95.0
Brunei,BRN,2019,95.0
Bulgaria,BGR,2015,56.6563
Bulgaria,BGR,2016,59.8255
Bulgaria,BGR,2017,63.4101
Bulgaria,BGR,2018,64.782
Bulgaria,BGR,2019,67.947
Burkina Faso,BFA,2015,6.55
Burkina Faso,BFA,2016,7.14
Burkina Faso,BFA,2017,7.79
Burkina Faso,BFA,2018,8.5
Burkina Faso,BFA,2019,9.27181
Burundi,BDI,2015,2.0
Burundi,BDI,2016,2.2
Burundi,BDI,2017,2.66075
Burundi,BDI,2018,4.0
Burundi,BDI,2019,6.1
Cambodia,KHM,2015,6.43319
Cambodia,KHM,2016,32.3985
Cambodia,KHM,2017,32.9003
Cambodia,KHM,2019,52.3059
Cameroon,CMR,2015,18.3
Cameroon,CMR,2016,20.6
Cameroon,CMR,2017,23.203
Cameroon,CMR,2018,29.7
Cameroon,CMR,2019,36.5392
Canada,CAN,2015,90.0
Canada,CAN,2016,91.16
Canada,CAN,2017,92.7014
Canada,CAN,2018,94.64
Canada,CAN,2019,91.9129
Cape Verde,CPV,2015,42.683
Cape Verde,CPV,2016,50.3228
Cape Verde,CPV,2017,57.1621
Cape Verde,CPV,2018,59.5
Cape Verde,CPV,2019,61.9434
Cayman Islands,CYM,2015,77.0
Cayman Islands,CYM,2016,79.0
Cayman Islands,CYM,2017,81.0677
Central African Republic,CAF,2015,2.9
Central African Republic,CAF,2016,3.1
Central African Republic,CAF,2017,4.0
Central African Republic,CAF,2018,5.1
Central African Republic,CAF,2019,7.50916
Chad,TCD,2015,3.5
Chad,TCD,2016,5.8
Chad,TCD,2017,6.4
Chad,TCD,2018,7.0
Chad,TCD,2019,7.6
Chile,CHL,2015,76.6296
Chile,CHL,2016,83.5586
Chile,CHL,2017,82.3275
Chile,CHL,2018,84.9
Chile,CHL,2019,85.0176
China,CHN,2015,50.3
China,CHN,2016,53.2
China,CHN,2017,54.3
China,CHN,2018,59.2
China,CHN,2019,64.0809
