country,country_code,year,gov_exp_pct_gdp,lit_rate_adult_pct,pri_comp_rate_pct,pupil_teacher_primary,pupil_teacher_secondary,school_enrol_primary_pct,school_enrol_secondary_pct,school_enrol_tertiary_pct
Afghanistan,AFG,2015,3.255800009,33.7538414,,43.38836,31.9738,106.1824188,53.28514099,
Afghanistan,AFG,2016,4.543970108,,82.91046143,44.58162,32.20814,106.1502838,53.50634003,
Afghanistan,AFG,2017,4.343190193,,87.25332642,47.98298,33.2407,106.1299973,55.4021492,
Afghanistan,AFG,2018,,,88.73551941,48.78979,33.50124,107.7805328,57.03929901,9.96378994
Afghanistan,AFG,2019,,,86.17552185,,,110.0075073,,
Africa Eastern and Southern,AFE,2015,4.758470058,70.44709015,67.4567337,,,101.7611771,42.76733017,8.566809654
Africa Eastern and Southern,AFE,2016,4.665563107,71.1051712,67.79637146,,,102.0548096,42.87905884,8.729940414
Africa Eastern and Southern,AFE,2017,4.87887001,71.02998352,68.88311005,,,102.6123123,43.1402092,8.896160126
Africa Eastern and Southern,AFE,2018,4.979930878,71.49539948,70.24607086,,,103.6047592,43.19292831,8.957790375
Africa Eastern and Southern,AFE,2019,4.944317341,72.65866089,70.92366791,,,104.2755432,43.3796196,8.897720337
Africa Western and Central,AFW,2015,2.984197974,55.0066185,68.19889832,,,89.11257172,44.51158905,9.705060005
Africa Western and Central,AFW,2016,2.667730808,55.46577835,68.75559998,,,88.78336334,43.08520126,9.501190186
Africa Western and Central,AFW,2017,3.360853672,56.47219849,68.14617157,,,88.93914032,43.23778915,9.618430138
Africa Western and Central,AFW,2018,3.023458004,59.74734879,68.13478851,,,88.85160828,43.54492188,9.803469658
Africa Western and Central,AFW,2019,3.047399521,59.55366898,68.1149826,,,89.75641632,44.7819519,9.946279526
Albania,ALB,2015,3.437969923,,98.78878784,18.61557,13.50589,105.688652,102.4407272,61.96084976
Albania,ALB,2016,3.962090015,,99.5973587,18.19844,12.22137,105.3247833,99.17076111,58.48847961
Albania,ALB,2017,3.611720085,98.81623077,106.4496918,17.94478,11.60265,105.4149704,97.57437134,58.0177803
Albania,ALB,2018,3.152944803,,102.8941803,17.57287,11.19927,104.5680237,98.8223877,56.08029938
Albania,ALB,2019,3.916239977,,98.7175293,,,102.5895386,99.01515198,61.4085083
Algeria,DZA,2015,6.17633009,,98.12547302,23.83613,,110.8422699,,38.33097839
Algeria,DZA,2016,6.502108574,,100.4898376,24.2355,,110.6881027,,44.10528946
Algeria,DZA,2017,5.734823704,,102.32061,24.22505,,109.8377075,,49.37791061
Algeria,DZA,2018,5.812751293,81.40783691,102.6879883,24.32018,,108.7034836,,53.1637001
Algeria,DZA,2019,5.575365543,,99.72988892,,,107.7751312,,54.1856308
Andorra,AND,2015,3.28034997,,66.09499359,9.93795,8.07904,88.95535278,92.54579926,13.88195992
Andorra,AND,2016,3.237070084,,68.49672699,10.06635,7.94434,90.17194366,94.2090683,15.10890961
Andorra,AND,2017,3.217089891,,65.81632996,10.5,8.22711,89.37107086,94.36975098,15.43694019
Andorra,AND,2018,3.246720076,,66.70918274,10.49757,8.01599,89.67447662,95.09059906,15.39402962
Andorra,AND,2019,3.15060997,,64.22135925,,,89.35289764,95.68405914,15.0
Angola,AGO,2015,3.099999905,66.23586273,,50.02951,,119.1422577,,8.683790207
Angola,AGO,2016,2.754936695,,,,26.76619,107.0269649,53.58145142,9.660340309
Angola,AGO,2017,2.466878891,,,,,122.2351662,,9.65568924
Angola,AGO,2018,2.183512926,,,,,88.57486897,,9.352542877
Angola,AGO,2019,2.073064327,,,,,,,11.06135941
Antigua and Barbuda,ATG,2015,2.144195795,,100.3881989,14.33428,11.48074,109.8310623,117.027771,
Antigua and Barbuda,ATG,2016,2.251774788,,102.6877441,,,106.8686427,,
Antigua and Barbuda,ATG,2017,2.365928173,,107.8087616,12.05576,9.64207,109.1647491,116.5304031,
Antigua and Barbuda,ATG,2018,2.349487543,,104.4444427,12.40564,9.29704,112.0916824,120.9359589,
Antigua and Barbuda,ATG,2019,2.303077459,,104.9766693,,,112.1222373,,
Arab World,ARB,2015,,75.02053833,80.30136108,19.56773,14.50165,90.61061859,67.78739929,29.49156952
Arab World,ARB,2016,,73.71795654,80.09226227,20.02351,14.52697,90.67342377,68.23110199,30.07344055
Arab World,ARB,2017,,74.21221161,80.22247314,20.62693,14.55245,90.80682373,68.74533844,31.17877007
Arab World,ARB,2018,,74.55412292,81.18817902,20.78495,14.49976,91.06926727,68.92353058,32.5794487
