country,country_code,year,Tertiary_Enrollment_Gross,Region,Cluster,Index,Infrastructure,Affordability,Consumer Readiness,Content and Services,Network coverage,Network performance,Spectrum,Mobile data affordability,Handset affordability,Taxation,Mobile Ownership,Basic Skills,Gender Equality,Local Relevance,Online Security,2G Population Coverage,3G Population Coverage,4G Population Coverage,5G Population Coverage,Mobile download speeds,Mobile upload speeds,Mobile latencies,Spectrum assigned in bands below 1GHz,Spectrum assigned in bands between 1-3GHz,Spectrum assigned in bands between 3-6GHz,Spectrum assigned in mmWave bands,Affordability of entry basket (1GB),Affordability of higher basket (5GB),Affordability of entry basket (1GB) for poorest 40%,Affordability of higher basket (5GB) for poorest 40%,Device affordability,Device affordability for poorest 40%,Cost of taxes on mobile data,Cost of taxes on handsets,Cost of sector specific taxes on mobile data,Mobile ownership,Literacy,School Life Expectancy,Gender gap in mobile ownership,Gender gap in mobile internet,Top-Level Domains (TLDs) per person,E-Government Score,Mobile Social Media Penetration,Locally developed apps per person,Digital Language Support,Language accessibility of top ranked apps,Cybersecurity Index,Internet_Use_Share,gov_exp_pct_gdp,lit_rate_adult_pct,pri_comp_rate_pct,pupil_teacher_primary,pupil_teacher_secondary,school_enrol_primary_pct,school_enrol_secondary_pct,school_enrol_tertiary_pct,happiness_rank,happiness_score
Afghanistan,AFG,2015,,South Asia,Discoverer,20.9894990663542,20.4991301587302,17.0221392317929,22.3755019804842,24.8591306466495,32.956,4.53944444444444,27.5047619047619,14.7775703017046,0.0,55.5555555555555,33.13,33.9965059414525,0.0,24.6155799749786,25.8333333333333,89.0,37.89,0.0,,5.615,8.00333333333333,0.0,24.952380952381,31.3333333333333,,,19.1647860056474,19.1647860056474,10.3903545977619,10.3903545977619,0.0,0.0,66.6666666666666,100.0,0.0,33.13,33.7538414001465,34.2391704827586,0.0,0.0,39.6324670161077,24.2725,4.97150843140048,33.8827531886423,32.4549212387422,0.0,25.8333333333333,8.26,3.255800009,33.7538414,,43.38836,31.9738,106.1824188,53.28514099,,153.0,3.575
Afghanistan,AFG,2016,,South Asia,Discoverer,21.3745331700704,22.6556108604845,16.8861263053522,20.4368729180239,26.6972358974617,34.244,8.64264619883041,27.5047619047619,14.4375379856028,0.0,55.5555555555555,25.71,35.6006187540718,0.0,27.0798782051604,25.1666666666667,89.2,41.01,0.0,,5.7725,8.31333333333333,11.8421052631579,24.952380952381,31.3333333333333,,,18.9567998760687,18.9567998760687,9.91827609513698,9.91827609513698,0.0,0.0,66.6666666666666,100.0,0.0,25.71,36.8358942667643,34.3653432413793,0.0,0.0,39.6440842611843,30.435,7.6835923970341,40.3992931288416,32.4549212387422,0.0,25.1666666666667,11.0,4.543970108,,82.91046143,44.58162,32.20814,106.1502838,53.50634003,,154.0,3.36
Afghanistan,AFG,2017,,South Asia,Discoverer,23.2530296666865,30.4286791627815,16.9517769084424,21.2582438555637,26.6619843302849,37.88,24.4393169545728,27.5047619047619,14.6016644933282,0.0,55.5555555555555,26.57,37.2047315666911,0.0,27.2024804128561,24.5,89.4,46.0,4.0,,8.15796139721222,8.91760962448299,56.2423798420233,24.952380952381,31.3333333333333,,,19.3423063451472,19.3423063451472,9.86102264150917,9.86102264150917,0.0,0.0,66.6666666666666,100.0,0.0,26.57,39.9179471333822,34.491516,0.0,0.0,39.5097852456039,30.4975,8.84830931344558,39.9506362664888,32.4549212387422,0.0,24.5,13.5,4.343190193,,87.25332642,47.98298,33.2407,106.1299973,55.4021492,,141.0,3.79399991035461
Afghanistan,AFG,2018,9.99592018127441,South Asia,Discoverer,23.3455136125963,31.2804599898938,16.9997044627374,22.0962814597701,25.2801727186203,42.8,21.6487690223535,27.5047619047619,14.7214833790657,0.0,55.5555555555555,27.48,38.8088443793103,0.0,27.1752158982754,17.7,90.0,55.0,7.0,,6.6430733200353,8.46376748923016,49.8394662577952,24.952380952381,31.3333333333333,,,19.4014231812281,19.4014231812281,10.0415435769032,10.0415435769032,0.0,0.0,66.6666666666666,100.0,0.0,27.48,43.0,34.6176887586207,0.0,0.0,39.3781141128414,30.56,9.6701038692718,39.0929402705217,32.4549212387422,0.0,17.7,16.8,,,88.73551941,48.78979,33.50124,107.7805328,57.03929901,9.96378994,145.0,3.632
Afghanistan,AFG,2019,,South Asia,Discoverer,24.8277840581021,33.7348686747006,20.5243921617233,22.0873102528736,24.8461829096501,50.8,19.7847907343706,27.5047619047619,23.5332026265306,0.0,55.5555555555555,28.39,37.8719307586207,0.0,28.1952286370627,11.45,90.0,60.0,22.0,,6.60252510787879,9.78151867833894,42.9703284168941,24.952380952381,31.3333333333333,,,42.0948689863465,14.3038139643691,32.762591288692,4.97153626671458,0.0,0.0,66.6666666666666,100.0,0.0,28.39,41.0,34.7438615172414,0.0,0.0,39.3353806131399,35.87,9.31123132095146,41.9396100124797,32.4549212387422,0.0,11.45,17.6,,,86.17552185,,,110.0075073,,,154.0,3.203
Angola,AGO,2015,8.78320868033121,Sub-Saharan Africa,Discoverer,31.742203232946,32.4134688965201,35.5334625619763,38.8310876465715,22.6989451457373,45.604,20.6982292398572,29.462886002886,13.7033708328906,31.2597621560722,87.7410468319559,30.32,53.2203451590702,32.9529177806441,26.2570147655049,8.46666666666667,90.0,64.74,4.27,,10.5840745476104,14.5354621313498,36.9751510406113,25.7792207792208,34.9883838383838,,,32.1354781988818,14.5145025859173,8.16350254676332,0.0,44.2445823009697,18.2749420111747,100.0,63.2231404958677,100.0,30.32,66.2358627319336,40.2048275862069,43.8878032120001,22.0180323492881,0.0422464078203078,32.352,10.4744090286054,30.5873204662208,45.4571181268984,57.0959595959596,8.46666666666667,22.0,3.099999905,66.23586273,,50.02951,,119.1422577,,8.683790207,137.0,4.033
Angola,AGO,2016,9.78287696232453,Sub-Saharan Africa,Emerging,36.4197257295099,35.6867850603814,49.5282464047786,41.5342414101044,23.9651429519105,46.584,27.9015196495106,29.462886002886,45.4536617741592,34.4964308218095,87.7410468319559,33.95,54.6651727452771,35.9875514850361,27.9230953565548,8.13333333333333,90.0,66.04,5.42,,13.2816032669155,19.5767571636334,50.8461985179829,25.7792207792208,34.9883838383838,,,66.2500889078214,48.6291132948568,42.2782102534615,24.6572346404969,47.4811984262544,21.5116632173645,100.0,63.2231404958677,100.0,33.95,66.2358627319336,43.0944827586207,49.9570706207841,22.0180323492881,0.0,34.783,12.4655987376998,33.7861845412912,45.4571181268984,61.0301507537688,8.13333333333333,23.2,2.754936695,,,,26.76619,107.0269649,53.58145142,9.660340309,141.0,3.866
Angola,AGO,2017,,Sub-Saharan Africa,Emerging,39.0141744892033,47.1213959230493,51.3731933513313,39.8831783810121,23.9963516347617,54.8,39.7006182347517,46.6057431457431,47.5122720418331,37.0501879205172,87.7410468319559,35.42,56.1097826418289,28.1197525012073,28.0454395434521,7.8,90.0,85.0,7.0,,18.9239823309375,34.1598185037749,66.0180538695428,54.3506493506493,34.9883838383838,,,68.308742933079,50.6877673201145,44.3367767635516,26.7158011505871,50.0350029290111,24.0653729120232,100.0,63.2231404958677,100.0,35.42,66.2358627319336,45.9837025517241,42.1343260437192,14.1051789586954,0.0,37.8765,8.45773770935381,38.2512848634643,45.4571181268984,58.2456140350877,7.8,26.0,2.466878891,,,,,122.2351662,,9.65568924,140.0,3.79500007629395
Angola,AGO,2018,,Sub-Saharan Africa,Emerging,40.4204635451269,49.9348897836446,53.3134095585341,40.5251862358281,24.7422725189595,55.712,45.82235288624,46.6057431457431,40.3799685410236,49.0330319393336,87.7410468319559,36.73,56.1096555038978,28.7359032035866,28.5028406486993,9.7,90.0,86.28,8.0,,23.3129335943485,39.5711032986036,74.5830217657678,54.3506493506493,34.9883838383838,,,58.017810452498,46.7142207428419,34.0457163392053,22.7421266295491,62.0179162507005,36.0481476279667,100.0,63.2231404958677,100.0,36.73,66.2358627319336,45.9834482758621,43.3666274484777,14.1051789586954,0.0,40.97,10.687266351604,37.6223187649943,45.4571181268984,56.525,9.7,29.0,2.183512926,,,,,88.57486897,,9.352542877,142.0,3.795
Albania,ALB,2015,61.9608485481051,Europe & Central Asia,Transitioner,55.4556596513136,53.5673147944892,59.4831082699053,70.3406156950658,42.1972166935545,82.56,27.2754298433659,48.1657142857143,56.1263655312413,53.6925162546331,77.7777777777778,67.63,86.4540480421353,56.9377990430622,46.6965208669432,24.2,99.8,96.5,60.0,,10.9875485187866,13.4989794963466,57.3397615149646,33.1428571428571,70.7,,,67.4384957303611,58.3566291853219,53.8782365082533,44.8321007010291,61.0183025169583,46.3667299923078,66.6666666666667,66.6666666666667,100.0,67.63,98.8162307739258,74.0918653103448,68.421052631579,45.4545454545455,57.4473981752241,52.1505,38.1709587017988,72.1426043186925,39.6463931390004,0.0,24.2,56.9,3.437969923,,98.78878784,18.61557,13.50589,105.688652,102.4407272,61.96084976,95.0,4.959
